,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
4355,soldier76,tracer,lucio,zenyatta,dva,winston
4356,genji,tracer,lucio,zenyatta,dva,winston
4357,soldier76,tracer,ana,lucio,roadhog,zarya
4358,tracer,ana,lucio,reinhardt,roadhog,zarya
4359,soldier76,tracer,ana,lucio,reinhardt,zarya
4360,genji,sombra,tracer,lucio,dva,winston
4361,pharah,tracer,lucio,mercy,dva,winston
4362,mei,mccree,ana,lucio,reinhardt,zarya
4363,soldier76,ana,zenyatta,dva,reinhardt,winston
4364,pharah,soldier76,tracer,lucio,zenyatta,winston
4365,genji,tracer,ana,lucio,dva,reinhardt
4366,widowmaker,tracer,ana,lucio,dva,winston
4367,genji,tracer,ana,lucio,reinhardt,zarya
4368,reaper,tracer,lucio,zenyatta,reinhardt,winston
4369,genji,tracer,lucio,zenyatta,dva,winston
4370,mccree,tracer,ana,lucio,winston,zarya
4371,widowmaker,tracer,lucio,mercy,dva,winston
4372,genji,tracer,zenyatta,dva,zarya,zarya
4373,torbjorn,soldier76,tracer,ana,dva,winston
4374,soldier76,tracer,mercy,zenyatta,dva,winston
4375,soldier76,tracer,lucio,dva,winston,zarya
4376,soldier76,tracer,lucio,zenyatta,dva,winston
4377,bastion,pharah,tracer,ana,lucio,reinhardt
4378,pharah,soldier76,lucio,zenyatta,dva,winston
4379,genji,tracer,lucio,zenyatta,dva,winston
4380,genji,soldier76,tracer,lucio,dva,winston
4381,genji,tracer,lucio,zenyatta,dva,winston
4382,mei,ana,lucio,dva,reinhardt,winston
4383,widowmaker,pharah,tracer,lucio,mercy,winston
4384,tracer,ana,lucio,zenyatta,dva,winston
4385,tracer,ana,lucio,reinhardt,roadhog,zarya
4386,widowmaker,tracer,lucio,zenyatta,dva,winston
4387,mccree,ana,lucio,dva,roadhog,winston
4388,mei,widowmaker,reaper,lucio,zenyatta,reinhardt
4389,mccree,soldier76,ana,lucio,dva,reinhardt
4390,mei,torbjorn,ana,dva,roadhog,winston
4391,genji,pharah,tracer,lucio,mercy,winston
4392,soldier76,sombra,tracer,ana,lucio,winston
4393,genji,tracer,lucio,zenyatta,dva,winston
4394,widowmaker,tracer,lucio,zenyatta,dva,winston
4395,mccree,reaper,ana,lucio,reinhardt,winston
4396,mei,ana,lucio,reinhardt,roadhog,zarya
4397,mccree,pharah,ana,lucio,winston,zarya
4398,genji,ana,lucio,reinhardt,roadhog,zarya
4399,junkrat,mccree,mercy,zenyatta,dva,winston
4400,soldier76,sombra,tracer,lucio,dva,winston
4401,mei,mccree,ana,lucio,reinhardt,zarya
4402,genji,mccree,ana,lucio,reinhardt,zarya
4403,mei,reaper,ana,lucio,reinhardt,zarya
4404,genji,soldier76,ana,lucio,roadhog,winston
4405,mccree,tracer,ana,lucio,dva,zarya
4406,genji,mccree,lucio,zenyatta,dva,zarya
4407,soldier76,tracer,ana,lucio,dva,reinhardt
4408,soldier76,ana,lucio,reinhardt,roadhog,zarya
4409,soldier76,tracer,ana,lucio,dva,winston
4410,pharah,tracer,lucio,zenyatta,dva,winston
4411,mei,ana,lucio,reinhardt,roadhog,zarya
4412,soldier76,sombra,tracer,ana,dva,winston
4413,genji,tracer,ana,lucio,dva,winston
4414,genji,soldier76,ana,lucio,dva,winston
4415,soldier76,tracer,ana,lucio,dva,winston
4416,mccree,ana,lucio,dva,roadhog,winston
4417,soldier76,tracer,ana,lucio,dva,reinhardt
4418,doomfist,tracer,lucio,zenyatta,dva,winston
4419,pharah,soldier76,ana,lucio,dva,winston
4420,reaper,soldier76,mercy,zenyatta,dva,roadhog
4421,pharah,ana,mercy,roadhog,winston,zarya
4422,genji,soldier76,ana,lucio,dva,winston
4423,soldier76,sombra,tracer,lucio,zenyatta,winston
4424,widowmaker,genji,lucio,zenyatta,reinhardt,winston
4425,pharah,tracer,ana,lucio,reinhardt,zarya
4426,mccree,soldier76,ana,lucio,reinhardt,roadhog
4427,genji,tracer,lucio,reinhardt,roadhog,zarya
4428,genji,sombra,tracer,lucio,dva,winston
4429,genji,mccree,mccree,ana,lucio,reinhardt
4430,genji,pharah,ana,lucio,winston,zarya
4431,hanzo,tracer,mercy,zenyatta,orisa,roadhog
4432,pharah,tracer,lucio,mercy,dva,winston
4433,soldier76,tracer,ana,lucio,reinhardt,zarya
4434,soldier76,sombra,tracer,lucio,dva,winston
4435,mei,genji,tracer,lucio,dva,winston
4436,genji,mccree,ana,lucio,winston,zarya
4437,reaper,tracer,lucio,zenyatta,reinhardt,zarya
4438,genji,reaper,tracer,lucio,zenyatta,winston
4439,mccree,ana,lucio,dva,reinhardt,roadhog
4440,tracer,ana,lucio,reinhardt,roadhog,zarya
4441,soldier76,tracer,ana,lucio,dva,winston
4442,mccree,tracer,lucio,zenyatta,reinhardt,zarya
4443,soldier76,tracer,lucio,zenyatta,dva,winston
4444,soldier76,tracer,ana,dva,reinhardt,roadhog
4445,soldier76,tracer,mercy,zenyatta,dva,winston
4446,doomfist,mccree,lucio,zenyatta,dva,winston
4447,soldier76,tracer,ana,lucio,dva,winston
4448,junkrat,tracer,ana,lucio,reinhardt,zarya
4449,genji,soldier76,tracer,ana,lucio,winston
4450,pharah,tracer,ana,lucio,dva,winston
4451,junkrat,widowmaker,mercy,zenyatta,dva,winston
4452,sombra,tracer,lucio,zenyatta,dva,winston
4453,widowmaker,genji,tracer,lucio,zenyatta,winston
4454,pharah,tracer,ana,lucio,dva,winston
4455,genji,soldier76,lucio,zenyatta,dva,reinhardt
4456,mei,mccree,ana,lucio,dva,winston
4457,widowmaker,soldier76,ana,lucio,dva,reinhardt
4458,mccree,ana,lucio,dva,reinhardt,zarya
4459,soldier76,sombra,tracer,lucio,dva,winston
4460,doomfist,tracer,lucio,zenyatta,dva,winston
4461,reaper,tracer,ana,lucio,winston,zarya
4462,genji,tracer,lucio,zenyatta,roadhog,winston
4463,mccree,reaper,ana,lucio,reinhardt,zarya
4464,junkrat,ana,lucio,dva,reinhardt,roadhog
4465,soldier76,tracer,mercy,zenyatta,dva,roadhog
4466,hanzo,ana,lucio,reinhardt,roadhog,zarya
4467,genji,tracer,lucio,zenyatta,dva,winston
4468,genji,soldier76,sombra,tracer,lucio,dva
4469,soldier76,tracer,lucio,mercy,dva,winston
4470,genji,ana,lucio,reinhardt,roadhog,zarya
4471,mei,mccree,ana,lucio,reinhardt,zarya
4472,torbjorn,soldier76,ana,reinhardt,roadhog,zarya
4473,sombra,tracer,lucio,zenyatta,dva,winston
4474,mei,doomfist,tracer,lucio,dva,winston
4475,tracer,ana,lucio,roadhog,winston,zarya
4476,genji,soldier76,tracer,lucio,zenyatta,winston
4477,soldier76,ana,lucio,dva,reinhardt,zarya
4478,genji,tracer,mercy,zenyatta,dva,winston
4479,junkrat,mccree,mercy,zenyatta,dva,winston
4480,genji,tracer,lucio,zenyatta,winston,zarya
4481,torbjorn,ana,symmetra,dva,reinhardt,roadhog
4482,genji,tracer,lucio,mercy,winston,zarya
4483,doomfist,soldier76,tracer,lucio,dva,winston
4484,mccree,pharah,lucio,mercy,dva,winston
4485,sombra,tracer,lucio,moira,dva,roadhog
4486,mccree,tracer,mercy,zenyatta,dva,winston
4487,genji,pharah,tracer,lucio,mercy,winston
4488,soldier76,tracer,ana,lucio,reinhardt,winston
4489,genji,pharah,ana,lucio,reinhardt,zarya
4490,mccree,reaper,ana,lucio,reinhardt,zarya
4491,hanzo,widowmaker,mercy,zenyatta,orisa,roadhog
4492,soldier76,tracer,ana,lucio,reinhardt,roadhog
4493,sombra,sombra,sombra,ana,zarya,zarya
4494,genji,tracer,lucio,zenyatta,dva,winston
4495,mccree,ana,lucio,dva,reinhardt,roadhog
4496,genji,tracer,ana,lucio,dva,winston
4497,soldier76,ana,lucio,reinhardt,roadhog,zarya
4498,hanzo,widowmaker,genji,lucio,zenyatta,winston
4499,mccree,soldier76,ana,lucio,dva,reinhardt
4500,tracer,ana,lucio,dva,roadhog,winston
4501,widowmaker,mccree,lucio,zenyatta,reinhardt,zarya
4502,soldier76,ana,lucio,dva,reinhardt,roadhog
4503,mei,tracer,ana,lucio,dva,winston
4504,pharah,tracer,mercy,zenyatta,dva,winston
4505,soldier76,tracer,mercy,zenyatta,dva,winston
4506,pharah,tracer,ana,lucio,reinhardt,roadhog
4507,genji,pharah,ana,lucio,winston,zarya
4508,soldier76,ana,lucio,dva,roadhog,winston
4509,doomfist,tracer,lucio,zenyatta,dva,winston
4510,genji,mccree,mercy,zenyatta,dva,winston
4511,genji,ana,lucio,dva,winston,zarya
4512,junkrat,genji,lucio,zenyatta,dva,winston
4513,widowmaker,tracer,mercy,zenyatta,dva,winston
4514,widowmaker,tracer,ana,zenyatta,dva,winston
4515,genji,soldier76,tracer,ana,lucio,winston
4516,mccree,tracer,lucio,zenyatta,dva,winston
4517,junkrat,mccree,mercy,zenyatta,orisa,roadhog
4518,mei,reaper,ana,lucio,reinhardt,zarya
4519,hanzo,reaper,ana,lucio,reinhardt,zarya
4520,genji,soldier76,lucio,zenyatta,dva,winston
4521,sombra,tracer,lucio,dva,roadhog,winston
4522,tracer,lucio,moira,dva,reinhardt,roadhog
4523,soldier76,tracer,ana,lucio,dva,winston
4524,soldier76,tracer,ana,lucio,dva,winston
4525,mei,soldier76,tracer,lucio,reinhardt,zarya
4526,soldier76,ana,lucio,dva,reinhardt,roadhog
4527,mei,ana,lucio,reinhardt,roadhog,winston
4528,junkrat,reaper,tracer,zenyatta,dva,winston
4529,pharah,tracer,lucio,mercy,dva,winston
4530,soldier76,ana,lucio,dva,reinhardt,zarya
4531,genji,soldier76,tracer,lucio,zenyatta,winston
4532,lucio,zenyatta,dva,reinhardt,roadhog,zarya
4533,mccree,ana,lucio,dva,reinhardt,roadhog
4534,genji,tracer,ana,lucio,dva,winston
4535,soldier76,sombra,tracer,lucio,dva,winston
4536,genji,tracer,ana,zenyatta,dva,winston
4537,pharah,sombra,tracer,lucio,dva,winston
4538,genji,ana,lucio,reinhardt,roadhog,zarya
4539,genji,tracer,ana,lucio,dva,winston
4540,genji,tracer,lucio,zenyatta,dva,winston
4541,widowmaker,genji,soldier76,lucio,zenyatta,winston
4542,mccree,ana,lucio,dva,reinhardt,roadhog
4543,soldier76,tracer,lucio,zenyatta,dva,winston
4544,reaper,ana,lucio,reinhardt,roadhog,winston
4545,mei,soldier76,tracer,lucio,dva,winston
4546,soldier76,tracer,ana,zenyatta,dva,winston
4547,reaper,tracer,ana,lucio,winston,zarya
4548,genji,pharah,ana,lucio,dva,winston
4549,soldier76,ana,lucio,dva,reinhardt,roadhog
4550,genji,tracer,lucio,dva,winston,zarya
4551,torbjorn,soldier76,sombra,tracer,ana,reinhardt
4552,junkrat,tracer,lucio,zenyatta,dva,winston
4553,genji,pharah,tracer,lucio,mercy,winston
4554,bastion,hanzo,genji,mercy,dva,orisa
4555,mccree,reaper,lucio,zenyatta,reinhardt,winston
4556,soldier76,ana,lucio,dva,reinhardt,roadhog
4557,genji,ana,lucio,reinhardt,roadhog,winston
4558,pharah,tracer,mercy,zenyatta,reinhardt,winston
4559,mccree,ana,lucio,dva,roadhog,winston
4560,pharah,reaper,ana,lucio,reinhardt,zarya
4561,mccree,tracer,mercy,zenyatta,roadhog,winston
4562,mei,mccree,ana,lucio,reinhardt,winston
4563,tracer,ana,lucio,dva,reinhardt,zarya
4564,hanzo,mei,lucio,zenyatta,reinhardt,zarya
4565,mei,genji,tracer,lucio,dva,winston
4566,hanzo,ana,lucio,reinhardt,roadhog,winston
4567,mei,pharah,soldier76,ana,lucio,reinhardt
4568,soldier76,sombra,tracer,ana,dva,winston
4569,hanzo,mccree,ana,zenyatta,reinhardt,zarya
4570,mccree,ana,lucio,dva,reinhardt,zarya
4571,mei,ana,lucio,reinhardt,roadhog,zarya
4572,genji,tracer,lucio,zenyatta,dva,winston
4573,soldier76,ana,lucio,reinhardt,roadhog,zarya
4574,doomfist,pharah,lucio,mercy,dva,winston
4575,mccree,tracer,lucio,mercy,dva,winston
4576,pharah,tracer,ana,lucio,dva,winston
4577,widowmaker,ana,lucio,dva,roadhog,winston
4578,soldier76,tracer,ana,lucio,dva,reinhardt
4579,pharah,soldier76,tracer,lucio,mercy,winston
4580,soldier76,tracer,lucio,zenyatta,dva,winston
4581,doomfist,sombra,tracer,lucio,dva,winston
4582,genji,tracer,lucio,zenyatta,dva,winston
4583,junkrat,tracer,lucio,zenyatta,reinhardt,zarya
4584,reaper,ana,lucio,reinhardt,roadhog,zarya
4585,mccree,mercy,zenyatta,dva,reinhardt,zarya
4586,reaper,ana,lucio,dva,reinhardt,roadhog
4587,mei,tracer,ana,reinhardt,roadhog,zarya
4588,junkrat,tracer,mercy,zenyatta,dva,orisa
4589,reaper,ana,lucio,dva,reinhardt,zarya
4590,soldier76,ana,lucio,dva,reinhardt,roadhog
4591,junkrat,widowmaker,mercy,zenyatta,dva,orisa
4592,genji,tracer,lucio,zenyatta,dva,winston
4593,bastion,hanzo,tracer,mercy,dva,orisa
4594,genji,sombra,tracer,lucio,reinhardt,roadhog
4595,torbjorn,widowmaker,soldier76,ana,dva,winston
4596,genji,pharah,lucio,zenyatta,dva,winston
4597,widowmaker,tracer,mercy,zenyatta,roadhog,winston
4598,hanzo,tracer,lucio,zenyatta,dva,winston
4599,soldier76,ana,lucio,dva,reinhardt,roadhog
4600,pharah,tracer,ana,lucio,winston,zarya
4601,tracer,ana,lucio,dva,reinhardt,zarya
4602,hanzo,tracer,lucio,zenyatta,dva,winston
4603,genji,soldier76,lucio,zenyatta,dva,winston
4604,genji,soldier76,tracer,lucio,zenyatta,winston
4605,widowmaker,ana,lucio,dva,reinhardt,zarya
4606,mccree,pharah,mercy,zenyatta,dva,winston
4607,ana,lucio,dva,reinhardt,roadhog,zarya
4608,pharah,tracer,lucio,mercy,dva,winston
4609,genji,mccree,ana,lucio,dva,winston
4610,mei,reaper,tracer,ana,lucio,reinhardt
4611,mei,tracer,ana,lucio,reinhardt,zarya
4612,genji,soldier76,lucio,zenyatta,dva,winston
4613,genji,soldier76,lucio,zenyatta,roadhog,winston
4614,genji,soldier76,tracer,lucio,zenyatta,winston
4615,genji,tracer,ana,lucio,dva,zarya
4616,widowmaker,genji,ana,lucio,dva,winston
4617,mccree,pharah,tracer,lucio,mercy,reinhardt
4618,genji,soldier76,tracer,lucio,dva,winston
4619,widowmaker,tracer,mercy,zenyatta,dva,winston
4620,mei,reaper,tracer,lucio,dva,winston
4621,mccree,lucio,moira,dva,reinhardt,zarya
4622,soldier76,tracer,ana,lucio,dva,reinhardt
4623,genji,soldier76,sombra,ana,dva,winston
4624,junkrat,mercy,zenyatta,dva,winston,zarya
4625,tracer,ana,lucio,dva,reinhardt,roadhog
4626,soldier76,tracer,ana,lucio,dva,reinhardt
4627,genji,soldier76,lucio,zenyatta,dva,winston
4628,soldier76,ana,lucio,reinhardt,roadhog,zarya
4629,mccree,reaper,tracer,ana,lucio,reinhardt
4630,genji,tracer,ana,lucio,dva,winston
4631,genji,tracer,lucio,mercy,winston,zarya
4632,genji,soldier76,tracer,mercy,zenyatta,winston
4633,genji,tracer,lucio,zenyatta,dva,winston
4634,mei,tracer,ana,lucio,reinhardt,roadhog
4635,soldier76,sombra,tracer,lucio,dva,winston
4636,genji,sombra,tracer,lucio,dva,winston
4637,soldier76,tracer,lucio,dva,roadhog,winston
4638,mccree,reaper,lucio,zenyatta,dva,winston
4639,genji,tracer,ana,lucio,reinhardt,winston
4640,soldier76,tracer,ana,lucio,dva,winston
4641,mei,reaper,tracer,ana,lucio,reinhardt
4642,soldier76,tracer,lucio,zenyatta,reinhardt,zarya
4643,widowmaker,ana,lucio,dva,reinhardt,zarya
4644,pharah,tracer,lucio,mercy,dva,winston
4645,genji,tracer,lucio,zenyatta,dva,winston
4646,mccree,tracer,ana,lucio,reinhardt,zarya
4647,soldier76,sombra,lucio,zenyatta,dva,reinhardt
4648,soldier76,tracer,lucio,zenyatta,dva,reinhardt
4649,genji,tracer,ana,lucio,dva,winston
4650,genji,tracer,ana,lucio,dva,winston
4651,soldier76,tracer,ana,lucio,dva,winston
4652,genji,tracer,ana,lucio,dva,reinhardt
4653,pharah,tracer,lucio,mercy,dva,winston
4654,genji,tracer,lucio,zenyatta,dva,winston
4655,mccree,soldier76,lucio,zenyatta,dva,reinhardt
4656,mccree,ana,lucio,dva,roadhog,winston
4657,bastion,sombra,tracer,lucio,dva,winston
4658,soldier76,tracer,mercy,zenyatta,dva,winston
4659,mccree,tracer,lucio,zenyatta,reinhardt,zarya
4660,genji,pharah,ana,lucio,winston,zarya
4661,mei,reaper,ana,lucio,reinhardt,zarya
4662,genji,tracer,lucio,zenyatta,dva,winston
4663,mccree,tracer,ana,lucio,dva,reinhardt
4664,reaper,tracer,lucio,zenyatta,winston,zarya
4665,genji,tracer,lucio,zenyatta,dva,winston
4666,torbjorn,genji,tracer,mercy,dva,winston
4667,genji,soldier76,tracer,lucio,zenyatta,winston
4668,bastion,torbjorn,tracer,ana,dva,winston
4669,genji,tracer,ana,lucio,dva,winston
4670,soldier76,tracer,lucio,zenyatta,dva,winston
4671,genji,tracer,mercy,zenyatta,dva,winston
4672,pharah,tracer,mercy,zenyatta,dva,winston
4673,genji,soldier76,tracer,lucio,zenyatta,winston
4674,tracer,ana,lucio,dva,reinhardt,roadhog
4675,soldier76,tracer,lucio,mercy,dva,winston
4676,genji,soldier76,ana,lucio,dva,winston
4677,genji,reaper,ana,lucio,dva,winston
4678,reaper,sombra,ana,lucio,dva,reinhardt
4679,doomfist,mccree,lucio,zenyatta,dva,winston
4680,tracer,ana,lucio,roadhog,winston,zarya
4681,genji,tracer,lucio,zenyatta,dva,winston
4682,genji,tracer,lucio,zenyatta,dva,winston
4683,genji,ana,lucio,dva,reinhardt,zarya
4684,genji,tracer,lucio,dva,reinhardt,winston
4685,mccree,tracer,ana,lucio,reinhardt,zarya
4686,widowmaker,pharah,tracer,lucio,mercy,winston
4687,mei,reaper,ana,lucio,reinhardt,zarya
4688,soldier76,sombra,tracer,lucio,dva,winston
4689,genji,tracer,ana,lucio,dva,reinhardt
4690,genji,ana,lucio,reinhardt,roadhog,zarya
4691,soldier76,tracer,lucio,zenyatta,dva,winston
4692,hanzo,widowmaker,pharah,ana,reinhardt,zarya
4693,hanzo,genji,tracer,lucio,dva,winston
4694,genji,tracer,lucio,zenyatta,dva,winston
4695,widowmaker,genji,soldier76,lucio,zenyatta,winston
4696,torbjorn,soldier76,tracer,ana,dva,winston
4697,reaper,tracer,ana,lucio,reinhardt,zarya
4698,soldier76,tracer,ana,lucio,dva,winston
4699,genji,tracer,lucio,zenyatta,dva,winston
4700,genji,tracer,lucio,zenyatta,dva,winston
4701,soldier76,tracer,lucio,zenyatta,dva,winston
4702,mei,mccree,lucio,zenyatta,reinhardt,zarya
4703,genji,ana,lucio,reinhardt,roadhog,zarya
4704,soldier76,tracer,lucio,zenyatta,dva,reinhardt
4705,genji,tracer,lucio,zenyatta,winston,zarya
4706,genji,tracer,lucio,zenyatta,dva,winston
4707,pharah,soldier76,lucio,mercy,dva,winston
4708,soldier76,tracer,lucio,zenyatta,dva,winston
4709,doomfist,genji,tracer,lucio,dva,winston
4710,widowmaker,genji,mercy,zenyatta,dva,winston
4711,soldier76,ana,lucio,reinhardt,roadhog,zarya
4712,hanzo,genji,tracer,lucio,dva,winston
4713,genji,soldier76,ana,lucio,roadhog,winston
4714,soldier76,tracer,lucio,zenyatta,dva,winston
4715,mccree,ana,lucio,dva,reinhardt,roadhog
4716,genji,tracer,ana,lucio,dva,winston
4717,mei,reaper,ana,lucio,reinhardt,zarya
4718,mccree,reaper,ana,lucio,reinhardt,zarya
4719,genji,soldier76,tracer,lucio,zenyatta,winston
4720,junkrat,widowmaker,mercy,moira,roadhog,winston
4721,genji,tracer,lucio,zenyatta,dva,reinhardt
4722,genji,tracer,ana,lucio,dva,winston
4723,pharah,tracer,lucio,zenyatta,dva,winston
4724,widowmaker,genji,ana,lucio,winston,zarya
4725,mccree,soldier76,lucio,zenyatta,dva,reinhardt
4726,mei,mccree,ana,lucio,reinhardt,winston
4727,junkrat,widowmaker,mercy,zenyatta,dva,winston
4728,genji,tracer,ana,lucio,dva,winston
4729,junkrat,mccree,reaper,lucio,zenyatta,reinhardt
4730,soldier76,tracer,ana,lucio,winston,zarya
4731,genji,reaper,lucio,zenyatta,reinhardt,winston
4732,genji,tracer,lucio,zenyatta,dva,winston
4733,soldier76,ana,lucio,dva,reinhardt,roadhog
4734,genji,tracer,mercy,zenyatta,dva,winston
4735,mei,ana,lucio,reinhardt,roadhog,zarya
4736,soldier76,tracer,lucio,mercy,dva,winston
4737,pharah,tracer,lucio,zenyatta,dva,winston
4738,widowmaker,tracer,ana,lucio,dva,reinhardt
4739,soldier76,tracer,ana,lucio,dva,winston
4740,mei,reaper,ana,lucio,dva,zarya
4741,junkrat,torbjorn,mercy,zenyatta,dva,reinhardt
4742,bastion,mei,tracer,lucio,dva,reinhardt
4743,genji,tracer,lucio,zenyatta,dva,winston
4744,mccree,tracer,ana,lucio,reinhardt,zarya
4745,junkrat,reaper,ana,lucio,reinhardt,zarya
4746,tracer,ana,lucio,dva,reinhardt,zarya
4747,genji,sombra,tracer,lucio,dva,winston
4748,doomfist,tracer,ana,lucio,reinhardt,zarya
4749,soldier76,ana,lucio,dva,reinhardt,roadhog
4750,genji,tracer,lucio,zenyatta,dva,winston
4751,pharah,tracer,lucio,mercy,dva,winston
4752,genji,ana,lucio,dva,roadhog,winston
4753,reaper,tracer,mercy,zenyatta,dva,winston
4754,soldier76,ana,lucio,dva,reinhardt,zarya
4755,widowmaker,genji,pharah,lucio,zenyatta,winston
4756,genji,tracer,lucio,zenyatta,dva,winston
4757,mccree,tracer,lucio,zenyatta,dva,winston
4758,genji,tracer,ana,lucio,reinhardt,zarya
4759,soldier76,tracer,lucio,zenyatta,dva,winston
4760,mei,tracer,lucio,zenyatta,dva,winston
4761,soldier76,tracer,ana,lucio,reinhardt,zarya
4762,genji,soldier76,tracer,lucio,zenyatta,winston
4763,widowmaker,tracer,mercy,zenyatta,dva,winston
4764,widowmaker,genji,lucio,zenyatta,dva,winston
4765,soldier76,tracer,ana,lucio,roadhog,winston
4766,pharah,tracer,lucio,mercy,dva,winston
4767,genji,ana,lucio,reinhardt,roadhog,zarya
4768,soldier76,sombra,tracer,lucio,dva,winston
4769,hanzo,tracer,ana,lucio,reinhardt,zarya
4770,genji,soldier76,tracer,lucio,zenyatta,winston
4771,pharah,ana,lucio,dva,reinhardt,zarya
4772,sombra,ana,lucio,dva,reinhardt,zarya
4773,mei,soldier76,ana,lucio,reinhardt,zarya
4774,pharah,tracer,mercy,zenyatta,dva,winston
4775,soldier76,sombra,tracer,lucio,dva,winston
4776,soldier76,tracer,mercy,zenyatta,dva,winston
4777,junkrat,reaper,ana,lucio,reinhardt,zarya
4778,mei,tracer,ana,lucio,dva,winston
4779,genji,tracer,ana,lucio,dva,winston
4780,soldier76,sombra,tracer,lucio,dva,winston
4781,reaper,tracer,lucio,zenyatta,winston,zarya
4782,pharah,tracer,ana,lucio,reinhardt,zarya
4783,mei,ana,lucio,dva,reinhardt,zarya
4784,mei,ana,lucio,reinhardt,roadhog,zarya
4785,widowmaker,tracer,mercy,zenyatta,dva,winston
4786,soldier76,tracer,mercy,moira,dva,winston
4787,genji,tracer,mercy,zenyatta,dva,winston
4788,mei,tracer,ana,lucio,dva,zarya
4789,soldier76,ana,lucio,dva,reinhardt,roadhog
4790,genji,pharah,tracer,lucio,mercy,winston
4791,genji,soldier76,tracer,lucio,zenyatta,winston
4792,reaper,ana,lucio,reinhardt,roadhog,zarya
4793,mccree,tracer,ana,lucio,reinhardt,zarya
4794,mei,sombra,tracer,lucio,dva,winston
4795,mccree,ana,lucio,reinhardt,roadhog,zarya
4796,hanzo,mei,ana,lucio,reinhardt,zarya
4797,genji,soldier76,tracer,lucio,dva,winston
4798,reaper,tracer,ana,lucio,reinhardt,zarya
4799,bastion,genji,lucio,zenyatta,reinhardt,zarya
4800,genji,ana,lucio,reinhardt,roadhog,winston
4801,soldier76,ana,lucio,reinhardt,roadhog,zarya
4802,mccree,tracer,mercy,zenyatta,dva,winston
4803,mccree,soldier76,ana,lucio,dva,reinhardt
4804,soldier76,ana,lucio,reinhardt,roadhog,zarya
4805,mccree,ana,lucio,dva,reinhardt,roadhog
4806,genji,sombra,tracer,lucio,dva,winston
4807,soldier76,sombra,tracer,lucio,dva,winston
4808,sombra,tracer,lucio,zenyatta,roadhog,winston
4809,genji,tracer,lucio,zenyatta,dva,winston
4810,soldier76,sombra,lucio,zenyatta,dva,winston
4811,torbjorn,pharah,tracer,ana,dva,winston
4812,reaper,tracer,ana,lucio,reinhardt,winston
4813,genji,tracer,ana,lucio,reinhardt,winston
4814,genji,tracer,ana,lucio,dva,winston
4815,genji,reaper,ana,lucio,reinhardt,zarya
4816,genji,mccree,reaper,lucio,zenyatta,reinhardt
4817,soldier76,tracer,lucio,zenyatta,dva,winston
4818,mccree,soldier76,ana,lucio,dva,reinhardt
4819,mei,doomfist,tracer,mercy,zenyatta,winston
4820,widowmaker,genji,tracer,ana,lucio,winston
4821,pharah,soldier76,sombra,lucio,dva,winston
4822,genji,reaper,ana,lucio,reinhardt,zarya
4823,mccree,tracer,lucio,zenyatta,winston,zarya
4824,mccree,reaper,ana,lucio,reinhardt,zarya
4825,mei,mccree,ana,lucio,reinhardt,roadhog
4826,junkrat,tracer,mercy,zenyatta,dva,winston
4827,soldier76,tracer,ana,lucio,reinhardt,winston
4828,junkrat,soldier76,lucio,zenyatta,dva,winston
4829,genji,tracer,lucio,mercy,dva,winston
4830,reaper,tracer,lucio,mercy,reinhardt,winston
4831,mccree,tracer,lucio,zenyatta,dva,winston
4832,soldier76,tracer,lucio,zenyatta,dva,winston
4833,sombra,tracer,ana,lucio,dva,winston
4834,mccree,tracer,ana,lucio,reinhardt,zarya
4835,tracer,ana,lucio,dva,reinhardt,zarya
4836,mei,ana,lucio,dva,reinhardt,zarya
4837,pharah,tracer,lucio,zenyatta,dva,winston
4838,genji,soldier76,ana,lucio,reinhardt,zarya
4839,soldier76,sombra,mercy,zenyatta,dva,orisa
4840,genji,ana,lucio,reinhardt,roadhog,zarya
4841,widowmaker,soldier76,tracer,mercy,zenyatta,dva
4842,soldier76,sombra,tracer,lucio,dva,winston
4843,torbjorn,mccree,tracer,mercy,dva,orisa
4844,pharah,tracer,lucio,mercy,dva,winston
4845,widowmaker,genji,tracer,mercy,zenyatta,winston
4846,soldier76,lucio,zenyatta,dva,reinhardt,zarya
4847,genji,soldier76,tracer,lucio,zenyatta,winston
4848,soldier76,ana,lucio,dva,reinhardt,roadhog
4849,soldier76,ana,lucio,dva,reinhardt,roadhog
4850,genji,tracer,ana,lucio,dva,reinhardt
4851,genji,reaper,tracer,lucio,dva,winston
4852,genji,ana,lucio,reinhardt,roadhog,zarya
4853,doomfist,tracer,lucio,zenyatta,dva,winston
4854,widowmaker,soldier76,tracer,lucio,zenyatta,winston
4855,soldier76,tracer,ana,lucio,dva,winston
4856,genji,pharah,tracer,lucio,mercy,winston
4857,reaper,soldier76,lucio,zenyatta,reinhardt,zarya
4858,mccree,reaper,ana,lucio,reinhardt,zarya
4859,junkrat,mccree,mercy,zenyatta,dva,winston
4860,pharah,tracer,lucio,zenyatta,dva,winston
4861,pharah,ana,lucio,dva,reinhardt,roadhog
4862,mccree,ana,lucio,reinhardt,winston,zarya
4863,doomfist,sombra,tracer,lucio,dva,winston
4864,mccree,soldier76,ana,lucio,dva,zarya
4865,genji,tracer,ana,lucio,dva,winston
4866,tracer,ana,lucio,dva,winston,zarya
4867,genji,mccree,ana,lucio,reinhardt,zarya
4868,mccree,tracer,lucio,dva,winston,zarya
