,Map,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Hero_6
6236,Temple of Anubis_Attack,genji,pharah,ana,lucio,dva,winston
6237,Temple of Anubis_Attack,widowmaker,tracer,ana,lucio,dva,winston
6238,Hollywood_Attack,genji,mccree,ana,lucio,reinhardt,winston
6239,Numbani_Defense,doomfist,mccree,lucio,zenyatta,dva,winston
6240,King's Row_Attack,hanzo,genji,tracer,zenyatta,dva,winston
6241,Lijiang Tower_Night Market,doomfist,soldier76,tracer,lucio,dva,winston
6242,King's Row_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6243,Oasis_Gardens,soldier76,tracer,lucio,zenyatta,dva,winston
6244,Hanamura_Defense,pharah,soldier76,tracer,lucio,reinhardt,winston
6245,Dorado_Defense,widowmaker,genji,mercy,zenyatta,dva,winston
6246,Temple of Anubis_Defense,mccree,tracer,ana,lucio,dva,winston
6247,Lijiang Tower_Garden,genji,pharah,lucio,zenyatta,dva,winston
6248,Oasis_City Center,soldier76,sombra,tracer,lucio,dva,winston
6249,Horizon Lunar Colony_Attack,genji,tracer,ana,lucio,dva,winston
6250,King's Row_Attack,reaper,tracer,lucio,zenyatta,reinhardt,winston
6251,Numbani_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
6252,Volskaya Industries_Defense,doomfist,tracer,lucio,zenyatta,dva,winston
6253,Lijiang Tower_Night Market,pharah,tracer,lucio,mercy,dva,winston
6254,Temple of Anubis_Attack,reaper,tracer,mercy,zenyatta,dva,winston
6255,Horizon Lunar Colony_Defense,reaper,ana,lucio,dva,winston,zarya
6256,Junkertown_Attack,widowmaker,tracer,mercy,zenyatta,orisa,roadhog
6257,Lijiang Tower_Garden,tracer,ana,lucio,dva,reinhardt,zarya
6258,Ilios_Lighthouse,soldier76,tracer,lucio,zenyatta,dva,winston
6259,Eichenwalde_Attack,genji,tracer,lucio,zenyatta,dva,winston
6260,Temple of Anubis_Attack,reaper,tracer,lucio,zenyatta,reinhardt,zarya
6261,Nepal_Sanctum,pharah,soldier76,ana,lucio,reinhardt,zarya
6262,Eichenwalde_Attack,reaper,tracer,ana,lucio,reinhardt,zarya
6263,Horizon Lunar Colony_Defense,reaper,tracer,mercy,zenyatta,dva,winston
6264,Numbani_Attack,mei,reaper,ana,lucio,reinhardt,winston
6265,Route 66_Defense,bastion,sombra,ana,lucio,dva,winston
6266,Nepal_Shrine,soldier76,sombra,tracer,lucio,dva,winston
6267,King's Row_Defense,mei,ana,lucio,dva,reinhardt,zarya
6268,Route 66_Attack,genji,tracer,lucio,zenyatta,dva,winston
6269,Lijiang Tower_Night Market,soldier76,tracer,ana,lucio,reinhardt,zarya
6270,Temple of Anubis_Defense,junkrat,widowmaker,sombra,lucio,dva,winston
6271,Numbani_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6272,Route 66_Attack,genji,soldier76,tracer,ana,lucio,winston
6273,Dorado_Attack,genji,tracer,ana,lucio,dva,winston
6274,Nepal_Shrine,genji,pharah,tracer,lucio,zenyatta,winston
6275,Watchpoint: Gibraltar_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
6276,Numbani_Defense,soldier76,sombra,tracer,zenyatta,dva,winston
6277,Hanamura_Defense,soldier76,ana,lucio,dva,reinhardt,winston
6278,Hollywood_Attack,tracer,lucio,zenyatta,reinhardt,roadhog,zarya
6279,Route 66_Defense,genji,tracer,ana,lucio,winston,zarya
6280,Route 66_Attack,doomfist,sombra,tracer,lucio,dva,winston
6281,Horizon Lunar Colony_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6282,Oasis_Gardens,mccree,tracer,lucio,zenyatta,dva,winston
6283,King's Row_Attack,widowmaker,genji,tracer,lucio,zenyatta,winston
6284,Nepal_Village,genji,tracer,mercy,zenyatta,dva,winston
6285,Junkertown_Attack,genji,tracer,mercy,zenyatta,dva,reinhardt
6286,King's Row_Attack,hanzo,tracer,mercy,zenyatta,reinhardt,zarya
6287,Route 66_Attack,genji,soldier76,ana,lucio,dva,reinhardt
6288,Volskaya Industries_Defense,pharah,soldier76,tracer,ana,mercy,winston
6289,Temple of Anubis_Defense,mei,genji,tracer,ana,lucio,winston
6290,Ilios_Well,genji,tracer,ana,lucio,dva,winston
6291,Temple of Anubis_Attack,soldier76,tracer,ana,lucio,winston,zarya
6292,Lijiang Tower_Garden,pharah,tracer,mercy,zenyatta,dva,winston
6293,Hollywood_Defense,genji,soldier76,ana,lucio,dva,winston
6294,Dorado_Attack,genji,mccree,lucio,zenyatta,dva,winston
6295,King's Row_Attack,mei,reaper,tracer,ana,lucio,reinhardt
6296,Oasis_Gardens,tracer,lucio,mercy,dva,winston,zarya
6297,Hanamura_Attack,doomfist,reaper,lucio,zenyatta,dva,winston
6298,Horizon Lunar Colony_Defense,mei,tracer,lucio,zenyatta,dva,winston
6299,Route 66_Attack,hanzo,doomfist,mccree,lucio,zenyatta,dva
6300,Watchpoint: Gibraltar_Defense,mei,mccree,ana,lucio,reinhardt,zarya
6301,Hollywood_Defense,soldier76,ana,zenyatta,dva,reinhardt,roadhog
6302,Numbani_Attack,genji,tracer,lucio,zenyatta,dva,winston
6303,Hollywood_Defense,soldier76,tracer,ana,lucio,roadhog,winston
6304,Route 66_Attack,genji,mccree,tracer,lucio,zenyatta,winston
6305,Oasis_City Center,pharah,tracer,lucio,mercy,dva,winston
6306,Dorado_Attack,tracer,lucio,zenyatta,dva,roadhog,winston
6307,Volskaya Industries_Attack,genji,tracer,lucio,zenyatta,dva,winston
6308,Numbani_Defense,tracer,ana,lucio,roadhog,winston,zarya
6309,Temple of Anubis_Attack,pharah,reaper,mercy,zenyatta,dva,winston
6310,Dorado_Attack,genji,tracer,ana,lucio,dva,winston
6311,Dorado_Attack,mccree,pharah,ana,lucio,reinhardt,zarya
6312,Lijiang Tower_Control Center,genji,ana,lucio,dva,reinhardt,zarya
6313,Horizon Lunar Colony_Attack,widowmaker,genji,lucio,zenyatta,dva,winston
6314,Nepal_Village,doomfist,mccree,lucio,zenyatta,dva,winston
6315,Temple of Anubis_Attack,genji,pharah,ana,lucio,reinhardt,zarya
6316,Ilios_Lighthouse,soldier76,tracer,lucio,zenyatta,winston,zarya
6317,Horizon Lunar Colony_Defense,junkrat,tracer,mercy,zenyatta,dva,winston
6318,Temple of Anubis_Attack,genji,mccree,tracer,lucio,zenyatta,winston
6319,Hollywood_Attack,genji,pharah,lucio,mercy,winston,zarya
6320,Lijiang Tower_Night Market,genji,tracer,lucio,zenyatta,winston,zarya
6321,Hollywood_Defense,mei,ana,lucio,reinhardt,winston,zarya
6322,Route 66_Defense,soldier76,sombra,tracer,lucio,dva,winston
6323,Hollywood_Defense,genji,soldier76,tracer,lucio,zenyatta,winston
6324,Hollywood_Attack,mei,genji,ana,lucio,reinhardt,winston
6325,Volskaya Industries_Attack,widowmaker,genji,ana,lucio,winston,zarya
6326,Dorado_Defense,widowmaker,genji,ana,lucio,reinhardt,zarya
6327,Dorado_Attack,doomfist,tracer,lucio,zenyatta,dva,winston
6328,Numbani_Defense,soldier76,tracer,mercy,zenyatta,dva,winston
6329,Hanamura_Defense,mei,tracer,ana,zenyatta,dva,winston
6330,Temple of Anubis_Defense,widowmaker,genji,mercy,zenyatta,dva,winston
6331,Dorado_Defense,mccree,mccree,reaper,ana,lucio,reinhardt
6332,Oasis_City Center,soldier76,tracer,lucio,mercy,dva,winston
6333,Temple of Anubis_Attack,genji,mccree,lucio,zenyatta,winston,zarya
6334,Volskaya Industries_Attack,mccree,soldier76,ana,lucio,reinhardt,zarya
6335,King's Row_Defense,soldier76,tracer,ana,lucio,dva,reinhardt
6336,Ilios_Ruins,soldier76,tracer,ana,lucio,dva,reinhardt
6337,Dorado_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
6338,Hollywood_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
6339,Lijiang Tower_Control Center,genji,sombra,tracer,lucio,winston,zarya
6340,King's Row_Attack,soldier76,ana,lucio,dva,reinhardt,zarya
6341,Hollywood_Defense,mei,reaper,ana,lucio,reinhardt,zarya
6342,King's Row_Attack,mei,pharah,ana,mercy,reinhardt,roadhog
6343,Oasis_University,doomfist,sombra,tracer,lucio,dva,winston
6344,Watchpoint: Gibraltar_Attack,genji,tracer,ana,lucio,dva,winston
6345,Hollywood_Attack,tracer,ana,lucio,roadhog,winston,zarya
6346,Oasis_University,genji,sombra,tracer,lucio,dva,winston
6347,King's Row_Defense,bastion,tracer,lucio,zenyatta,dva,winston
6348,Horizon Lunar Colony_Attack,widowmaker,genji,tracer,lucio,zenyatta,winston
6349,Horizon Lunar Colony_Defense,genji,tracer,ana,zenyatta,dva,winston
6350,King's Row_Attack,mccree,tracer,lucio,zenyatta,dva,reinhardt
6351,Eichenwalde_Attack,junkrat,mercy,zenyatta,dva,orisa,zarya
6352,Hanamura_Attack,doomfist,reaper,ana,lucio,reinhardt,zarya
6353,Nepal_Sanctum,pharah,tracer,ana,lucio,winston,zarya
6354,Dorado_Defense,mei,mccree,ana,lucio,reinhardt,zarya
6355,Hanamura_Attack,mccree,soldier76,ana,lucio,reinhardt,zarya
6356,Watchpoint: Gibraltar_Attack,pharah,ana,lucio,reinhardt,roadhog,zarya
6357,Lijiang Tower_Garden,tracer,ana,lucio,reinhardt,roadhog,zarya
6358,Lijiang Tower_Garden,soldier76,ana,lucio,reinhardt,roadhog,zarya
6359,Temple of Anubis_Attack,widowmaker,genji,ana,lucio,dva,zarya
6360,King's Row_Defense,ana,symmetra,dva,reinhardt,roadhog,zarya
6361,Nepal_Shrine,mccree,ana,lucio,dva,reinhardt,zarya
6362,Route 66_Defense,soldier76,ana,lucio,dva,reinhardt,roadhog
6363,Watchpoint: Gibraltar_Defense,mccree,tracer,lucio,zenyatta,roadhog,winston
6364,Nepal_Shrine,tracer,ana,lucio,dva,reinhardt,roadhog
6365,Dorado_Attack,genji,tracer,lucio,zenyatta,dva,winston
6366,Ilios_Lighthouse,soldier76,ana,lucio,dva,reinhardt,zarya
6367,Lijiang Tower_Night Market,genji,tracer,lucio,zenyatta,winston,zarya
6368,Lijiang Tower_Control Center,genji,soldier76,sombra,tracer,lucio,winston
6369,Hollywood_Attack,mei,widowmaker,reaper,ana,lucio,reinhardt
6370,Junkertown_Attack,junkrat,widowmaker,mercy,zenyatta,orisa,roadhog
6371,Volskaya Industries_Defense,mei,ana,lucio,reinhardt,roadhog,zarya
6372,Nepal_Shrine,mei,genji,ana,lucio,winston,zarya
6373,King's Row_Defense,mccree,ana,lucio,dva,reinhardt,zarya
6374,Hollywood_Defense,torbjorn,soldier76,ana,dva,reinhardt,zarya
6375,Numbani_Attack,genji,tracer,lucio,zenyatta,dva,winston
6376,Numbani_Defense,torbjorn,widowmaker,soldier76,ana,dva,winston
6377,Hanamura_Attack,doomfist,tracer,lucio,zenyatta,dva,winston
6378,King's Row_Defense,soldier76,ana,lucio,reinhardt,roadhog,zarya
6379,Volskaya Industries_Defense,mei,genji,tracer,lucio,dva,winston
6380,Numbani_Defense,mei,soldier76,tracer,lucio,dva,winston
6381,Ilios_Lighthouse,doomfist,tracer,lucio,zenyatta,dva,winston
6382,Horizon Lunar Colony_Attack,genji,tracer,lucio,zenyatta,dva,winston
6383,Ilios_Ruins,torbjorn,soldier76,sombra,lucio,dva,winston
6384,Hollywood_Defense,mccree,reaper,ana,lucio,reinhardt,zarya
6385,Lijiang Tower_Garden,mccree,tracer,ana,lucio,reinhardt,zarya
6386,Lijiang Tower_Control Center,soldier76,tracer,ana,lucio,dva,winston
6387,Volskaya Industries_Attack,mccree,soldier76,ana,lucio,dva,reinhardt
6388,Hollywood_Attack,genji,soldier76,ana,lucio,dva,reinhardt
6389,Temple of Anubis_Defense,genji,pharah,ana,lucio,roadhog,winston
6390,Eichenwalde_Attack,mccree,ana,lucio,dva,reinhardt,zarya
6391,Hanamura_Attack,doomfist,tracer,lucio,zenyatta,dva,winston
6392,Watchpoint: Gibraltar_Attack,genji,tracer,lucio,zenyatta,dva,winston
6393,Lijiang Tower_Night Market,genji,soldier76,tracer,lucio,zenyatta,winston
6394,Temple of Anubis_Defense,genji,soldier76,ana,lucio,dva,winston
6395,Horizon Lunar Colony_Attack,widowmaker,sombra,tracer,mercy,dva,winston
6396,Volskaya Industries_Defense,genji,sombra,tracer,lucio,dva,winston
6397,King's Row_Attack,pharah,tracer,lucio,mercy,dva,winston
6398,Ilios_Well,pharah,tracer,ana,lucio,dva,winston
6399,Ilios_Lighthouse,soldier76,tracer,lucio,zenyatta,dva,winston
6400,Eichenwalde_Defense,soldier76,tracer,ana,lucio,dva,winston
6401,Temple of Anubis_Attack,widowmaker,genji,mercy,zenyatta,dva,winston
6402,Ilios_Ruins,widowmaker,sombra,tracer,lucio,dva,winston
6403,Hollywood_Defense,genji,tracer,lucio,zenyatta,dva,winston
6404,Temple of Anubis_Defense,genji,tracer,ana,lucio,dva,winston
6405,King's Row_Defense,mei,tracer,lucio,zenyatta,dva,winston
6406,King's Row_Attack,genji,tracer,lucio,zenyatta,dva,winston
6407,Nepal_Shrine,pharah,reaper,lucio,mercy,dva,winston
6408,Horizon Lunar Colony_Defense,doomfist,tracer,mercy,dva,roadhog,winston
6409,King's Row_Attack,genji,pharah,soldier76,lucio,zenyatta,winston
6410,Lijiang Tower_Garden,soldier76,tracer,lucio,zenyatta,dva,winston
6411,Lijiang Tower_Control Center,genji,ana,lucio,reinhardt,roadhog,zarya
6412,Dorado_Attack,genji,tracer,ana,lucio,reinhardt,roadhog
6413,King's Row_Attack,soldier76,tracer,ana,lucio,reinhardt,zarya
6414,Nepal_Sanctum,tracer,lucio,zenyatta,dva,winston,zarya
6415,Hanamura_Defense,mei,ana,lucio,dva,reinhardt,roadhog
6416,Route 66_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6417,Lijiang Tower_Night Market,genji,soldier76,lucio,zenyatta,dva,winston
6418,Route 66_Defense,mccree,ana,lucio,reinhardt,roadhog,zarya
6419,Eichenwalde_Attack,pharah,tracer,ana,lucio,dva,winston
6420,Hanamura_Defense,mei,widowmaker,sombra,tracer,dva,winston
6421,King's Row_Attack,widowmaker,doomfist,mercy,zenyatta,dva,winston
6422,Hollywood_Defense,genji,soldier76,sombra,tracer,ana,winston
6423,Junkertown_Attack,widowmaker,tracer,mercy,zenyatta,dva,roadhog
6424,King's Row_Attack,mccree,reaper,sombra,reinhardt,roadhog,winston
6425,Horizon Lunar Colony_Defense,doomfist,tracer,ana,lucio,dva,winston
6426,Ilios_Ruins,widowmaker,genji,ana,lucio,reinhardt,zarya
6427,Oasis_City Center,mccree,tracer,lucio,zenyatta,dva,winston
6428,Temple of Anubis_Attack,widowmaker,tracer,mercy,zenyatta,dva,winston
6429,Temple of Anubis_Attack,mei,mccree,ana,lucio,roadhog,winston
6430,Watchpoint: Gibraltar_Attack,pharah,soldier76,ana,mercy,dva,reinhardt
6431,Ilios_Well,mccree,tracer,ana,lucio,dva,winston
6432,King's Row_Attack,widowmaker,tracer,mercy,zenyatta,dva,winston
6433,Junkertown_Defense,genji,tracer,lucio,zenyatta,dva,winston
6434,Ilios_Ruins,soldier76,sombra,tracer,lucio,dva,winston
6435,Eichenwalde_Defense,junkrat,mei,reaper,ana,lucio,reinhardt
6436,Junkertown_Defense,junkrat,mccree,mercy,zenyatta,orisa,roadhog
6437,Route 66_Attack,widowmaker,genji,ana,lucio,roadhog,winston
6438,Temple of Anubis_Defense,genji,tracer,mercy,zenyatta,dva,winston
6439,Numbani_Attack,genji,tracer,lucio,zenyatta,dva,winston
6440,Eichenwalde_Defense,mei,tracer,ana,lucio,reinhardt,winston
6441,Nepal_Shrine,mccree,soldier76,ana,ana,lucio,reinhardt
6442,Numbani_Attack,ana,lucio,dva,reinhardt,roadhog,zarya
6443,Volskaya Industries_Defense,soldier76,sombra,tracer,lucio,dva,winston
6444,Temple of Anubis_Defense,genji,soldier76,tracer,ana,roadhog,winston
6445,Nepal_Sanctum,genji,tracer,ana,lucio,dva,winston
6446,Hanamura_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
6447,Route 66_Defense,genji,sombra,tracer,lucio,dva,winston
6448,Lijiang Tower_Control Center,junkrat,ana,mercy,dva,winston,zarya
6449,Ilios_Ruins,genji,tracer,lucio,zenyatta,dva,winston
6450,Temple of Anubis_Defense,genji,sombra,tracer,lucio,dva,winston
6451,Lijiang Tower_Control Center,soldier76,ana,lucio,dva,reinhardt,roadhog
6452,Numbani_Attack,genji,pharah,ana,lucio,winston,zarya
6453,Temple of Anubis_Defense,genji,sombra,tracer,lucio,roadhog,winston
6454,King's Row_Attack,hanzo,widowmaker,tracer,ana,reinhardt,zarya
6455,Hollywood_Defense,tracer,ana,symmetra,reinhardt,roadhog,zarya
6456,Volskaya Industries_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6457,Ilios_Ruins,torbjorn,mccree,ana,lucio,dva,zarya
6458,Nepal_Village,mei,reaper,ana,lucio,reinhardt,zarya
6459,King's Row_Defense,soldier76,tracer,ana,lucio,reinhardt,zarya
6460,Horizon Lunar Colony_Attack,soldier76,sombra,tracer,mercy,dva,winston
6461,Hanamura_Defense,mei,genji,soldier76,tracer,dva,winston
6462,Route 66_Attack,genji,tracer,lucio,zenyatta,winston,zarya
6463,Eichenwalde_Defense,sombra,tracer,ana,lucio,winston,zarya
6464,Hanamura_Defense,mei,soldier76,ana,lucio,dva,reinhardt
6465,Dorado_Defense,genji,tracer,ana,lucio,dva,winston
6466,Lijiang Tower_Garden,pharah,tracer,lucio,mercy,dva,winston
6467,Junkertown_Defense,junkrat,widowmaker,mercy,zenyatta,dva,winston
6468,Eichenwalde_Defense,genji,soldier76,tracer,ana,lucio,winston
6469,Route 66_Defense,soldier76,ana,lucio,roadhog,winston,zarya
6470,King's Row_Defense,doomfist,tracer,lucio,zenyatta,dva,winston
6471,Horizon Lunar Colony_Defense,genji,tracer,lucio,zenyatta,dva,winston
6472,Oasis_University,genji,pharah,tracer,ana,lucio,winston
6473,Ilios_Ruins,genji,soldier76,tracer,ana,lucio,winston
6474,Nepal_Shrine,genji,soldier76,tracer,lucio,zenyatta,winston
6475,Lijiang Tower_Garden,soldier76,tracer,ana,lucio,dva,winston
6476,King's Row_Attack,soldier76,ana,zenyatta,dva,reinhardt,roadhog
6477,Horizon Lunar Colony_Defense,pharah,tracer,ana,mercy,dva,winston
6478,Temple of Anubis_Attack,junkrat,tracer,lucio,zenyatta,dva,winston
6479,King's Row_Attack,soldier76,lucio,zenyatta,dva,reinhardt,zarya
6480,Hollywood_Attack,soldier76,ana,lucio,dva,reinhardt,roadhog
6481,Eichenwalde_Attack,hanzo,tracer,ana,lucio,dva,winston
6482,Dorado_Attack,genji,ana,lucio,reinhardt,roadhog,zarya
6483,Eichenwalde_Attack,soldier76,ana,lucio,dva,reinhardt,roadhog
6484,Temple of Anubis_Attack,doomfist,reaper,ana,lucio,winston,zarya
6485,Dorado_Defense,sombra,tracer,lucio,zenyatta,reinhardt,winston
6486,Oasis_City Center,pharah,tracer,lucio,mercy,dva,winston
6487,Horizon Lunar Colony_Defense,genji,tracer,ana,zenyatta,dva,winston
6488,Volskaya Industries_Defense,ana,lucio,dva,reinhardt,roadhog,zarya
6489,Lijiang Tower_Garden,pharah,tracer,ana,lucio,reinhardt,zarya
6490,Lijiang Tower_Control Center,doomfist,soldier76,lucio,zenyatta,dva,winston
6491,Lijiang Tower_Night Market,genji,soldier76,lucio,zenyatta,dva,winston
6492,Lijiang Tower_Control Center,genji,tracer,lucio,zenyatta,dva,winston
6493,Temple of Anubis_Defense,reaper,tracer,mercy,zenyatta,dva,winston
6494,Route 66_Attack,soldier76,ana,lucio,dva,reinhardt,roadhog
6495,Lijiang Tower_Control Center,widowmaker,doomfist,ana,lucio,reinhardt,zarya
6496,Volskaya Industries_Defense,genji,tracer,ana,lucio,dva,winston
6497,Numbani_Attack,genji,tracer,ana,lucio,dva,winston
6498,Dorado_Defense,doomfist,soldier76,lucio,zenyatta,dva,winston
6499,Oasis_City Center,reaper,soldier76,tracer,lucio,dva,winston
6500,Watchpoint: Gibraltar_Defense,mccree,tracer,lucio,zenyatta,roadhog,winston
6501,Volskaya Industries_Attack,soldier76,tracer,lucio,zenyatta,dva,winston
6502,Hollywood_Attack,mei,tracer,ana,lucio,reinhardt,zarya
6503,Eichenwalde_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6504,Ilios_Ruins,genji,tracer,lucio,zenyatta,dva,winston
6505,Route 66_Defense,soldier76,tracer,mercy,zenyatta,dva,winston
6506,Lijiang Tower_Control Center,pharah,tracer,ana,lucio,winston,zarya
6507,Ilios_Lighthouse,genji,mccree,ana,lucio,reinhardt,zarya
6508,Hollywood_Defense,genji,soldier76,ana,lucio,dva,zarya
6509,Hollywood_Defense,soldier76,ana,dva,reinhardt,zarya,zarya
6510,Nepal_Shrine,soldier76,tracer,lucio,zenyatta,dva,winston
6511,Oasis_Gardens,pharah,ana,lucio,dva,roadhog,winston
6512,Route 66_Defense,genji,tracer,mercy,zenyatta,dva,winston
6513,Hollywood_Defense,mccree,reaper,lucio,zenyatta,reinhardt,zarya
6514,Eichenwalde_Attack,genji,mccree,ana,lucio,reinhardt,zarya
6515,King's Row_Attack,reaper,tracer,ana,lucio,winston,zarya
6516,Dorado_Defense,widowmaker,genji,tracer,lucio,mercy,dva
6517,Route 66_Defense,genji,tracer,lucio,zenyatta,dva,winston
6518,King's Row_Defense,soldier76,tracer,ana,lucio,dva,reinhardt
6519,Hanamura_Defense,mei,reaper,tracer,lucio,zenyatta,reinhardt
6520,Hanamura_Defense,torbjorn,soldier76,tracer,ana,dva,winston
6521,Numbani_Attack,genji,tracer,ana,lucio,dva,winston
6522,Eichenwalde_Defense,soldier76,tracer,ana,lucio,dva,winston
6523,Dorado_Defense,genji,tracer,lucio,zenyatta,reinhardt,zarya
6524,Volskaya Industries_Defense,mccree,tracer,ana,lucio,winston,zarya
6525,Dorado_Defense,pharah,ana,lucio,dva,roadhog,winston
6526,Hanamura_Defense,torbjorn,tracer,ana,dva,reinhardt,roadhog
6527,Dorado_Attack,ana,lucio,dva,reinhardt,roadhog,zarya
6528,Nepal_Sanctum,soldier76,ana,lucio,reinhardt,roadhog,zarya
6529,Nepal_Sanctum,genji,tracer,ana,lucio,dva,zarya
6530,Horizon Lunar Colony_Defense,mccree,tracer,mercy,dva,roadhog,winston
6531,Eichenwalde_Defense,pharah,tracer,mercy,zenyatta,dva,winston
6532,Lijiang Tower_Garden,genji,soldier76,tracer,lucio,zenyatta,winston
6533,Ilios_Well,tracer,ana,lucio,dva,reinhardt,zarya
6534,Eichenwalde_Attack,pharah,tracer,lucio,mercy,winston,zarya
6535,Dorado_Defense,soldier76,tracer,mercy,zenyatta,dva,winston
6536,Horizon Lunar Colony_Defense,genji,tracer,lucio,zenyatta,dva,winston
6537,King's Row_Attack,genji,soldier76,tracer,lucio,zenyatta,winston
6538,Lijiang Tower_Control Center,genji,tracer,lucio,zenyatta,winston,zarya
6539,Horizon Lunar Colony_Defense,soldier76,tracer,lucio,zenyatta,dva,winston
6540,King's Row_Attack,pharah,reaper,ana,lucio,reinhardt,zarya
6541,Ilios_Ruins,soldier76,sombra,tracer,lucio,dva,winston
6542,Dorado_Defense,reaper,tracer,lucio,zenyatta,reinhardt,winston
6543,Dorado_Attack,genji,pharah,ana,lucio,reinhardt,roadhog
6544,Volskaya Industries_Defense,soldier76,sombra,lucio,zenyatta,dva,winston
6545,King's Row_Defense,pharah,tracer,mercy,zenyatta,dva,winston
6546,Hollywood_Attack,genji,tracer,lucio,zenyatta,dva,winston
6547,Hanamura_Attack,genji,tracer,lucio,zenyatta,dva,winston
6548,Temple of Anubis_Attack,widowmaker,tracer,lucio,zenyatta,dva,winston
6549,King's Row_Defense,soldier76,ana,lucio,reinhardt,roadhog,zarya
6550,Dorado_Defense,genji,tracer,ana,zenyatta,dva,winston
6551,Hanamura_Defense,soldier76,tracer,ana,lucio,dva,winston
6552,Horizon Lunar Colony_Attack,genji,tracer,lucio,mercy,dva,winston
6553,Temple of Anubis_Defense,mei,sombra,tracer,lucio,dva,reinhardt
6554,Hanamura_Attack,soldier76,tracer,ana,lucio,dva,reinhardt
6555,Ilios_Lighthouse,soldier76,ana,lucio,dva,reinhardt,roadhog
6556,Numbani_Defense,torbjorn,soldier76,tracer,ana,dva,winston
6557,Route 66_Attack,widowmaker,genji,lucio,mercy,dva,winston
6558,King's Row_Defense,doomfist,tracer,lucio,zenyatta,dva,reinhardt
6559,Nepal_Sanctum,hanzo,tracer,ana,lucio,winston,zarya
6560,Dorado_Defense,soldier76,tracer,ana,lucio,reinhardt,zarya
6561,Temple of Anubis_Defense,soldier76,tracer,ana,lucio,dva,winston
6562,Ilios_Well,soldier76,ana,lucio,dva,reinhardt,zarya
6563,Hanamura_Defense,genji,mccree,reaper,lucio,dva,winston
6564,Dorado_Attack,hanzo,tracer,lucio,zenyatta,dva,winston
6565,Nepal_Sanctum,soldier76,sombra,tracer,lucio,dva,winston
6566,Volskaya Industries_Attack,genji,tracer,ana,lucio,dva,winston
6567,Horizon Lunar Colony_Defense,torbjorn,widowmaker,tracer,mercy,dva,winston
6568,Route 66_Defense,ana,lucio,dva,reinhardt,winston,zarya
6569,Temple of Anubis_Attack,mei,tracer,ana,lucio,dva,reinhardt
6570,Watchpoint: Gibraltar_Attack,genji,mccree,ana,zenyatta,reinhardt,zarya
6571,Nepal_Shrine,reaper,tracer,lucio,zenyatta,winston,zarya
6572,Numbani_Defense,torbjorn,soldier76,tracer,zenyatta,dva,winston
6573,Ilios_Ruins,tracer,lucio,zenyatta,dva,winston,zarya
6574,Hollywood_Attack,mccree,ana,lucio,dva,reinhardt,zarya
6575,King's Row_Defense,tracer,ana,lucio,dva,reinhardt,zarya
6576,Ilios_Lighthouse,mccree,tracer,mercy,zenyatta,dva,winston
6577,Horizon Lunar Colony_Defense,soldier76,tracer,ana,lucio,dva,winston
6578,Ilios_Lighthouse,genji,tracer,lucio,zenyatta,winston,zarya
6579,Volskaya Industries_Attack,genji,sombra,tracer,lucio,dva,winston
6580,Lijiang Tower_Garden,soldier76,tracer,lucio,zenyatta,dva,winston
6581,Volskaya Industries_Attack,soldier76,tracer,ana,lucio,dva,winston
6582,Ilios_Well,pharah,ana,lucio,reinhardt,roadhog,zarya
6583,Ilios_Lighthouse,mccree,ana,lucio,dva,roadhog,winston
6584,Hanamura_Attack,soldier76,tracer,ana,lucio,dva,reinhardt
6585,Horizon Lunar Colony_Attack,soldier76,sombra,tracer,lucio,winston,zarya
6586,King's Row_Defense,mccree,tracer,lucio,zenyatta,dva,reinhardt
6587,Horizon Lunar Colony_Attack,soldier76,tracer,lucio,mercy,dva,winston
6588,Ilios_Well,soldier76,tracer,mercy,zenyatta,dva,winston
6589,King's Row_Attack,genji,mccree,ana,lucio,dva,reinhardt
6590,King's Row_Defense,genji,tracer,lucio,zenyatta,dva,winston
6591,King's Row_Defense,mccree,tracer,lucio,zenyatta,reinhardt,zarya
6592,Lijiang Tower_Garden,soldier76,ana,lucio,reinhardt,roadhog,zarya
6593,Lijiang Tower_Garden,mccree,reaper,ana,lucio,reinhardt,zarya
6594,Junkertown_Attack,widowmaker,genji,lucio,mercy,dva,winston
6595,Horizon Lunar Colony_Defense,soldier76,tracer,ana,zenyatta,dva,winston
6596,Lijiang Tower_Garden,genji,tracer,ana,lucio,reinhardt,zarya
6597,Horizon Lunar Colony_Attack,genji,tracer,lucio,zenyatta,dva,winston
6598,Eichenwalde_Attack,mccree,tracer,mercy,zenyatta,dva,winston
6599,Route 66_Defense,soldier76,ana,lucio,reinhardt,roadhog,zarya
6600,King's Row_Attack,mccree,ana,lucio,dva,reinhardt,zarya
